2024-06-11 21:34:50.241 [restartedMain] INFO  w.k.KnightEquipBackendApplication - Starting KnightEquipBackendApplication using Java 22.0.1 with PID 12568 (C:\Users\wital\IdeaProjects\KnightEquip-Backend\target\classes started by wital in C:\Users\wital\IdeaProjects\KnightEquip-Backend)
2024-06-11 21:36:00.814 [http-nio-8080-exec-5] INFO  w.k.services.InventoryItemService - Fetched 23 items
2024-06-11 21:36:00.814 [http-nio-8080-exec-7] INFO  w.k.services.InventoryItemService - Fetched 21 items
2024-06-11 21:36:00.814 [http-nio-8080-exec-4] INFO  w.k.services.InventoryItemService - Fetched 23 items
2024-06-11 21:36:02.825 [http-nio-8080-exec-6] INFO  w.k.services.InventoryItemService - Adding a new inventory item
2024-06-11 21:36:02.873 [http-nio-8080-exec-6] INFO  w.k.services.InventoryItemService - Inventory item added with ID: 119
2024-06-11 21:36:03.349 [http-nio-8080-exec-3] INFO  w.k.services.InventoryItemService - Adding a new inventory item
2024-06-11 21:36:03.352 [http-nio-8080-exec-3] INFO  w.k.services.InventoryItemService - Inventory item added with ID: 120
2024-06-11 21:36:03.992 [http-nio-8080-exec-4] INFO  w.k.services.InventoryItemService - Adding a new inventory item
2024-06-11 21:36:03.996 [http-nio-8080-exec-4] INFO  w.k.services.InventoryItemService - Inventory item added with ID: 121
2024-06-11 21:36:04.493 [http-nio-8080-exec-7] INFO  w.k.services.InventoryItemService - Adding a new inventory item
2024-06-11 21:36:04.496 [http-nio-8080-exec-7] INFO  w.k.services.InventoryItemService - Inventory item added with ID: 122
2024-06-11 21:36:28.850 [http-nio-8080-exec-8] INFO  w.k.services.InventoryItemService - Fetching all items with pagination - Page: 0, Size: 10000, Sort: [level, DESC], ItemType: CLOAK
2024-06-11 21:36:28.850 [http-nio-8080-exec-8] INFO  w.k.services.InventoryItemService - Filtering items by type: CLOAK
2024-06-11 21:36:28.850 [http-nio-8080-exec-2] INFO  w.k.services.InventoryItemService - Fetching all items with pagination - Page: 0, Size: 10000, Sort: [level, DESC], ItemType: HELMET
2024-06-11 21:36:28.850 [http-nio-8080-exec-2] INFO  w.k.services.InventoryItemService - Filtering items by type: HELMET
2024-06-11 21:36:28.853 [http-nio-8080-exec-5] INFO  w.k.services.InventoryItemService - Fetching all items with pagination - Page: 0, Size: 10000, Sort: [level, DESC], ItemType: BOOTS
2024-06-11 21:36:28.858 [http-nio-8080-exec-8] INFO  w.k.services.InventoryItemService - Fetched 24 items
2024-06-11 21:36:28.858 [http-nio-8080-exec-5] INFO  w.k.services.InventoryItemService - Filtering items by type: BOOTS
2024-06-11 21:36:28.865 [http-nio-8080-exec-2] INFO  w.k.services.InventoryItemService - Fetched 24 items
2024-06-11 21:36:28.866 [http-nio-8080-exec-9] INFO  w.k.services.InventoryItemService - Fetching all items with pagination - Page: 0, Size: 10000, Sort: [level, DESC], ItemType: CHESTPLATE
2024-06-11 21:36:28.866 [http-nio-8080-exec-9] INFO  w.k.services.InventoryItemService - Filtering items by type: CHESTPLATE
2024-06-11 21:36:28.872 [http-nio-8080-exec-10] INFO  w.k.services.InventoryItemService - Fetching all items with pagination - Page: 0, Size: 10000, Sort: [level, DESC], ItemType: SWORD
2024-06-11 21:36:28.879 [http-nio-8080-exec-5] INFO  w.k.services.InventoryItemService - Fetched 22 items
2024-06-11 21:36:28.882 [http-nio-8080-exec-9] INFO  w.k.services.InventoryItemService - Fetched 18 items
2024-06-11 21:36:28.872 [http-nio-8080-exec-10] INFO  w.k.services.InventoryItemService - Filtering items by type: SWORD
2024-06-11 21:36:28.904 [http-nio-8080-exec-10] INFO  w.k.services.InventoryItemService - Fetched 34 items
2024-06-11 21:36:31.184 [http-nio-8080-exec-3] INFO  w.k.services.KnightService - Updating knight with new inventory item with ID: 50
2024-06-11 21:36:31.232 [http-nio-8080-exec-3] INFO  w.k.services.KnightService - Knight updated with new inventory item. Knight ID: 1, Inventory Item ID: 50
2024-06-11 21:36:35.535 [http-nio-8080-exec-5] INFO  w.k.services.InventoryItemService - Fetching all items with pagination - Page: 0, Size: 10000, Sort: [level, DESC], ItemType: SWORD
2024-06-11 21:36:35.535 [http-nio-8080-exec-5] INFO  w.k.services.InventoryItemService - Filtering items by type: SWORD
2024-06-11 21:36:35.536 [http-nio-8080-exec-6] INFO  w.k.services.InventoryItemService - Fetching all items with pagination - Page: 0, Size: 10000, Sort: [level, DESC], ItemType: CLOAK
2024-06-11 21:36:35.536 [http-nio-8080-exec-10] INFO  w.k.services.InventoryItemService - Fetching all items with pagination - Page: 0, Size: 10000, Sort: [level, DESC], ItemType: CHESTPLATE
2024-06-11 21:36:35.536 [http-nio-8080-exec-6] INFO  w.k.services.InventoryItemService - Filtering items by type: CLOAK
2024-06-11 21:36:35.536 [http-nio-8080-exec-9] INFO  w.k.services.InventoryItemService - Fetching all items with pagination - Page: 0, Size: 10000, Sort: [level, DESC], ItemType: HELMET
2024-06-11 21:36:35.536 [http-nio-8080-exec-10] INFO  w.k.services.InventoryItemService - Filtering items by type: CHESTPLATE
2024-06-11 21:36:35.536 [http-nio-8080-exec-9] INFO  w.k.services.InventoryItemService - Filtering items by type: HELMET
2024-06-11 21:36:35.538 [http-nio-8080-exec-3] INFO  w.k.services.InventoryItemService - Fetching all items with pagination - Page: 0, Size: 10000, Sort: [level, DESC], ItemType: BOOTS
2024-06-11 21:36:35.538 [http-nio-8080-exec-3] INFO  w.k.services.InventoryItemService - Filtering items by type: BOOTS
2024-06-11 21:36:35.541 [http-nio-8080-exec-9] INFO  w.k.services.InventoryItemService - Fetched 24 items
2024-06-11 21:36:35.542 [http-nio-8080-exec-5] INFO  w.k.services.InventoryItemService - Fetched 34 items
2024-06-11 21:36:35.543 [http-nio-8080-exec-6] INFO  w.k.services.InventoryItemService - Fetched 24 items
2024-06-11 21:36:35.543 [http-nio-8080-exec-10] INFO  w.k.services.InventoryItemService - Fetched 18 items
2024-06-11 21:36:35.551 [http-nio-8080-exec-3] INFO  w.k.services.InventoryItemService - Fetched 22 items
2024-06-11 21:36:37.414 [http-nio-8080-exec-7] INFO  w.k.services.KnightService - Updating knight with new inventory item with ID: 69
2024-06-11 21:36:37.424 [http-nio-8080-exec-7] INFO  w.k.services.KnightService - Knight updated with new inventory item. Knight ID: 1, Inventory Item ID: 69
2024-06-11 21:36:42.572 [http-nio-8080-exec-6] INFO  w.k.services.InventoryItemService - Fetching all items with pagination - Page: 0, Size: 10000, Sort: [level, DESC], ItemType: SWORD
2024-06-11 21:36:42.572 [http-nio-8080-exec-10] INFO  w.k.services.InventoryItemService - Fetching all items with pagination - Page: 0, Size: 10000, Sort: [level, DESC], ItemType: HELMET
2024-06-11 21:36:42.572 [http-nio-8080-exec-6] INFO  w.k.services.InventoryItemService - Filtering items by type: SWORD
2024-06-11 21:36:42.572 [http-nio-8080-exec-10] INFO  w.k.services.InventoryItemService - Filtering items by type: HELMET
2024-06-11 21:36:42.572 [http-nio-8080-exec-8] INFO  w.k.services.InventoryItemService - Fetching all items with pagination - Page: 0, Size: 10000, Sort: [level, DESC], ItemType: CHESTPLATE
2024-06-11 21:36:42.573 [http-nio-8080-exec-7] INFO  w.k.services.InventoryItemService - Fetching all items with pagination - Page: 0, Size: 10000, Sort: [level, DESC], ItemType: BOOTS
2024-06-11 21:36:42.573 [http-nio-8080-exec-8] INFO  w.k.services.InventoryItemService - Filtering items by type: CHESTPLATE
2024-06-11 21:36:42.573 [http-nio-8080-exec-7] INFO  w.k.services.InventoryItemService - Filtering items by type: BOOTS
2024-06-11 21:36:42.572 [http-nio-8080-exec-3] INFO  w.k.services.InventoryItemService - Fetching all items with pagination - Page: 0, Size: 10000, Sort: [level, DESC], ItemType: CLOAK
2024-06-11 21:36:42.573 [http-nio-8080-exec-3] INFO  w.k.services.InventoryItemService - Filtering items by type: CLOAK
2024-06-11 21:36:42.575 [http-nio-8080-exec-10] INFO  w.k.services.InventoryItemService - Fetched 24 items
2024-06-11 21:36:42.575 [http-nio-8080-exec-6] INFO  w.k.services.InventoryItemService - Fetched 34 items
2024-06-11 21:36:42.576 [http-nio-8080-exec-8] INFO  w.k.services.InventoryItemService - Fetched 18 items
2024-06-11 21:36:42.576 [http-nio-8080-exec-7] INFO  w.k.services.InventoryItemService - Fetched 22 items
2024-06-11 21:36:42.578 [http-nio-8080-exec-3] INFO  w.k.services.InventoryItemService - Fetched 24 items
2024-06-11 21:36:45.386 [http-nio-8080-exec-2] INFO  w.k.services.KnightService - Updating knight with new inventory item with ID: 80
2024-06-11 21:36:45.392 [http-nio-8080-exec-2] INFO  w.k.services.KnightService - Knight updated with new inventory item. Knight ID: 1, Inventory Item ID: 80
